305 1631554427 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554428 0,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554432 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554433 3,000000 -1,000000 -101,000000 0,000000 0,000000
305 1631554429 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554430 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554431 0,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554434 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554435 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554436 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554437 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554438 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554439 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554440 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554441 3,000000 -1,000000 -101,000000 0,000000 0,000000
320 1631554442 3,600000 -1,000000 -101,000000 0,000000 0,000000
320 1631554443 3,600000 -1,000000 -101,000000 0,000000 0,000000
305 1631554437 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554438 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554439 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554440 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554441 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554442 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554443 0,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554444 3,600000 -1,000000 -101,000000 0,000000 0,000000
320 1631554445 3,600000 -1,000000 -101,000000 0,000000 0,000000
320 1631554446 3,600000 -1,000000 -101,000000 0,000000 0,000000
320 1631554447 5,800000 -1,000000 -101,000000 0,000000 0,000000
320 1631554448 5,800000 -1,000000 -101,000000 0,000000 0,000000
305 1631554444 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554445 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554446 0,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554449 5,800000 -1,000000 -101,000000 0,000000 0,000000
320 1631554450 5,800000 -1,000000 -101,000000 0,000000 0,000000
320 1631554451 5,800000 -1,000000 -101,000000 0,000000 0,000000
320 1631554452 3,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554453 3,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554452 0,200000 -1,000000 -101,000000 0,000000 0,000000
305 1631554453 0,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554454 3,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554455 3,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554456 3,200000 -1,000000 -101,000000 0,000000 0,000000
320 1631554457 6,000000 -1,000000 -101,000000 0,000000 0,000000
