323 1631554428 0,000000 0,000000 -101,000000 0,000000 0,000000
323 1631554429 0,000000 0,000000 -101,000000 0,000000 0,000000
323 1631554430 0,000000 0,000000 -101,000000 0,000000 0,000000
323 1631554431 0,000000 0,000000 -101,000000 0,000000 0,000000
323 1631554432 6,000000 0,200000 1,200000 1,200000 -20,200000
323 1631554433 6,000000 0,200000 2,400000 2,400000 -20,200000
323 1631554434 6,000000 0,200000 3,600000 3,600000 -20,200000
323 1631554435 6,000000 0,200000 4,800000 4,800000 -20,200000
323 1631554436 6,000000 0,200000 6,000000 6,000000 -20,200000
323 1631554437 2,000000 0,400000 6,800000 6,800000 -20,200000
323 1631554438 2,000000 0,400000 7,600000 7,600000 -20,200000
323 1631554439 2,000000 0,400000 8,400000 8,400000 -20,200000
323 1631554440 2,000000 0,400000 9,200000 9,200000 -20,200000
323 1631554441 2,000000 0,400000 10,000000 10,000000 -20,200000
323 1631554442 0,200000 1,000000 10,200000 10,200000 -20,200000
323 1631554443 0,200000 1,000000 10,400000 10,400000 -20,200000
323 1631554444 0,200000 1,000000 10,600000 10,600000 -20,200000
323 1631554445 0,200000 1,000000 10,800000 10,800000 -20,200000
323 1631554446 0,200000 1,000000 11,000000 11,000000 -20,200000
323 1631554447 0,875000 1,600000 12,400000 12,400000 -20,200000
323 1631554448 0,875000 1,600000 13,800000 13,800000 -20,200000
323 1631554449 0,875000 1,600000 15,200000 15,200000 -20,200000
323 1631554450 0,875000 1,600000 16,600000 16,600000 -20,200000
323 1631554451 0,875000 1,600000 18,000000 18,000000 -20,200000
323 1631554452 -0,181818 2,200000 17,600000 17,600000 -20,200000
323 1631554453 -0,181818 2,200000 17,200000 17,200000 -20,200000
323 1631554454 -0,181818 2,200000 16,800000 16,800000 -20,200000
323 1631554455 -0,181818 2,200000 16,400000 16,400000 -20,200000
323 1631554456 -0,181818 2,200000 16,000000 16,000000 -20,200000
323 1631554457 0,071429 2,800000 16,200000 16,200000 -20,200000
323 1631554458 0,071429 2,800000 16,400000 16,400000 -20,200000
323 1631554459 0,071429 2,800000 16,600000 16,600000 -20,200000
323 1631554460 0,071429 2,800000 16,800000 16,800000 -20,200000
323 1631554461 0,071429 2,800000 17,000000 17,000000 -20,200000
323 1631554462 0,368421 3,800000 18,400000 18,400000 -20,200000
323 1631554463 0,368421 3,800000 19,800000 19,800000 -20,200000
323 1631554464 0,368421 3,800000 21,200000 21,200000 -20,200000
323 1631554465 0,368421 3,800000 22,600000 22,600000 -20,200000
323 1631554466 0,368421 3,800000 24,000000 24,000000 -20,200000
